Calendar Day,Normative Stock Required,Receipt,Consumption,Monitored Capacity(coal),Electricity Generated_Coal,Electricity Generated_Nuclear,Electricity Generated_Hydro
2025-01-07,65302.1,2612.6,2354.2,211753.01,3499.0500000000006,156.3,245.0900000000001
2025-01-06,65302.1,2520.2,2298.2,211689.51,3439.7900000000004,155.45999999999998,236.84000000000003
2025-01-05,65302.1,2661.1,2293.1,211689.51,3412.600000000002,150.81,214.59999999999985
2025-01-04,65302.1,2416.8,2364.4,211689.51,3512.1399999999994,144.89,245.28
2025-01-03,65302.1,2478.3,2350.1,211689.51,3505.709999999998,145.46,232.03999999999985
2025-01-02,65302.1,2409.9,2289.8,211689.51,3408.020000000002,150.05,224.27999999999983
2025-01-01,65302.1,2275.2,2238.6,211689.51,3315.3200000000033,148.6,213.65
2024-12-31,62395.9,2516.2,2277.1,211689.51,3398.320000000004,153.89,230.03999999999996
2024-12-30,62395.9,2423.7,2219.6,211689.51,3314.850000000002,154.96,240.02999999999983
2024-12-29,62395.9,2509.3,2123.1,211689.51,3127.8399999999992,154.85000000000002,214.75
2024-12-28,62395.9,2388.7,2262.1,211689.51,3195.4600000000014,154.70999999999998,222.53999999999957
2024-12-27,62395.9,2535.6,2376.9,211689.51,3416.9300000000007,153.6,230.84999999999985
2024-12-26,62395.9,2485.6,2379.7,211689.51,3541.160000000003,154.51000000000002,267.54
2024-12-25,62395.9,2495.2,2353.1,211689.51,3498.9700000000007,155.13,258.98999999999984
2024-12-24,62395.9,2320.8,2369.7,211689.51,3543.5099999999966,155.06,268.75999999999993
2024-12-23,62395.9,2442.1,2395.1,211689.51,3562.040000000001,155.44000000000003,283.79000000000013
2024-12-22,62395.9,2499.2,2368.6,211689.51,3501.790000000002,154.73,246.8400000000001
2024-12-20,62395.9,2506.6,2337.7,211689.51,3505.5299999999997,168.50999999999996,297.05000000000007
2024-12-19,62395.9,2494.3,2358.5,211689.51,3509.0599999999995,165.70999999999998,284.06000000000034
2024-12-18,62395.9,2397.9,2341.2,211689.51,3475.5400000000022,165.78,286.13000000000005
2024-12-17,62395.9,2354.0,2324.8,211689.51,3417.660000000002,169.36,268.55999999999995
2024-12-16,62395.9,2407.2,2257.4,211689.51,3338.9800000000014,166.22999999999996,251.82
2024-12-15,62395.9,2347.5,2136.0,211689.51,3153.3399999999992,169.42999999999998,227.17999999999995
2024-12-14,62395.9,2290.5,2222.0,211689.51,3260.789999999999,168.55,237.1099999999998
2024-12-13,62395.9,2417.8,2238.8,211029.51,3294.960000000001,163.75,242.03999999999976
2024-12-12,62395.9,2355.3,2255.2,211029.51,3340.019999999999,162.85,260.3999999999999
2024-12-11,62395.9,2442.0,2271.7,211029.51,3346.279999999997,169.17000000000002,251.1299999999999
2024-12-10,62395.9,2626.9,2262.0,211029.51,3337.23,169.26999999999998,253.09999999999988
